trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
167,ctgan,1,nearmiss,0.5,1.0,COMPLETE,2024-04-12 00:29:02.628690,2024-04-12 00:31:46.263949,163.635259
168,copulagan,1,condensednn,0,0.9976138251493192,COMPLETE,2024-04-12 00:31:46.298532,2024-04-12 00:37:20.019301,333.720769
169,tvae,2,nearmiss,auto,0.9976240131798227,COMPLETE,2024-04-12 00:37:20.045510,2024-04-12 00:37:56.748638,36.703128
170,random,0,editednn,0.25,0.7423364034921087,COMPLETE,2024-04-12 00:37:56.768973,2024-04-12 00:38:16.919001,20.150028
171,gaussiancopula,0.5,condensednn,0.25,1.0,COMPLETE,2024-04-12 00:38:16.933634,2024-04-12 00:39:03.474861,46.541227
172,random,0,nearmiss,0,-1.0,ERROR,,,0.0
173,tvae,auto,tomeklinks,0.5,1.0,COMPLETE,2024-04-12 00:39:28.214047,2024-04-12 00:40:15.600095,47.386048
174,fastml,1,clustercentroid,0,1.0,COMPLETE,2024-04-12 00:40:15.616928,2024-04-12 00:41:14.179856,58.562928
175,fastml,2,onesidedselection,0,1.0,COMPLETE,2024-04-12 00:41:14.203634,2024-04-12 00:46:18.186521,303.982887
176,random,0.25,random,0.0625,1.0,COMPLETE,2024-04-12 00:46:18.215300,2024-04-12 00:47:37.878997,79.663697
177,fastml,auto,random,0.0625,1.0,COMPLETE,2024-04-12 00:47:37.897171,2024-04-12 00:48:24.452174,46.555003
178,fastml,0,tomeklinks,0.25,0.9975932405321575,COMPLETE,2024-04-12 00:48:24.482914,2024-04-12 00:48:57.901396,33.418482
179,gaussiancopula,0.5,onesidedselection,0,1.0,COMPLETE,2024-04-12 00:48:57.920262,2024-04-12 00:49:38.019390,40.099128
180,ctgan,2,instancehardness,0,0.997709604455342,COMPLETE,2024-04-12 00:49:38.045333,2024-04-12 00:50:33.796416,55.751083
181,ctgan,2,editednn,auto,0.5907701095322349,COMPLETE,2024-04-12 00:50:33.820474,2024-04-12 00:51:24.228028,50.407554
182,smote,0,clustercentroid,0.125,0.992913452401665,COMPLETE,2024-04-12 00:51:24.264419,2024-04-12 00:52:05.251993,40.987574
